TACODE,TANAME,TAVERSION,NUMBER OF ALL ADDRESSES,NUMBER OF FULLY REGISTERED PROPERTIES,NUMBER OF EDW PROPERTIES,PROPS POTENTIALLY WARNED
034FWFSOCOSSNGTN,River Soar at Cossington Village,8,,,,
034FWFSOCOTES,River Soar at Cotes and Loughborough Moors,8,80,16,50,66
034FWFSOCROFT,River Soar at Croft,7,63,21,32,53
034FWFSOENDERBY,River Soar at Enderby,7,,,,
034FWFSOKEGWORTH,River Soar at Kegworth,7,352,51,194,245
034FWFSOLEIABMED,River Soar at Leicester Abbey Meadows,9,963,160,484,644
034FWFSOLEICFROG,River Soar at Frog Island and riverside areas of Leicester,8,1144,174,650,824
034FWFSOLEICSTER,River Soar at Leicester City,9,4117,82,1521,1603
034FWFSOLITLTHRP,River Soar at Littlethorpe and Narborough,7,,,,
034FWFSOMNTSORRL,River Soar at Mountsorrel Lock and riverside properties and mills,7,58,21,24,45
034FWFSONORMOOR,River Soar at Moor Lane in Normanton on Soar and Hathern Sports Ground,9,21,13,0,13
034FWFSONORMSOAR,River Soar at Normanton on Soar,6,28,14,6,20
034FWFSONRTHAYLE,River Soar at North Aylestone,4,654,122,335,457
034FWFSOQUORN,River Soar at Quorn,9,1058,184,674,858
034FWFSORATSOAR,River Soar at Ratcliffe on Soar,6,21,7,5,12
034FWFSOREDKEG,River Soar at Redhill and Kegworth Bridge,6,46,29,3,32
034FWFSORUSHMEAD,River Soar at Rushey Mead,8,177,88,43,131
034FWFSOSHRNFRD,River Soar at Sharnford including Croft Mill,8,55,40,8,48
034FWFSOSILEBY,River Soar at Sileby,6,33,19,5,24
034FWFSOSUTTBONN,River Soar at Sutton Bonnington,6,55,36,10,46
034FWFSOTHURMSTN,River Soar at Thurmaston,8,406,46,254,300
034FWFSOZOUCH,River Soar at Zouch Island,7,62,46,6,52
034FWFTHLEICS,Thurnby Brook at Thurnby in Leicester City,1,57,4,35,39
034FWFTOWOLBEEST,Tottle Brook at Wollaton and Beeston,1,349,33,219,252
034FWFTRATTBRGH,Rivers Trent and Erewash at Chilwell and Attenborough,10,3029,1636,1048,2684
034FWFTRATTNATRE,River Trent at Attenborough Nature Reserve,2,,,,
034FWFTRATTVILL,River Trent at Attenborough Village,7,177,101,50,151
034FWFTRAVRSTAY,"River Trent at Averham, Staythorpe and Kelham",8,56,42,14,56
034FWFTRBARROW,River Trent at Barrow upon Trent,9,205,119,66,185
034FWFTRBEESTON,River Trent at Beeston Rylands,10,5239,2933,1430,4363
034FWFTRBLEASBY,River Trent at Bleasby,8,244,155,62,217
034FWFTRBRTNFAB,River Trent at Barton in Fabis,9,103,40,36,76
034FWFTRBSTNMNA,River Trent at Beeston Lock and Marina,6,88,41,21,62
034FWFTRBURTJOYC,River Trent at Burton Joyce,9,579,253,222,475
034FWFTRCASDONKM,River Trent at Castle Donington around Kings Mill,8,,,,
034FWFTRCASDONN,River Trent at Castle Donington including Hemington and Lockington,11,510,81,290,371
034FWFTRCAVBRDG,River Trent at Cavendish Bridge,7,28,27,3,30
034FWFTRCAYTHOR,River Trent at Caythorpe,6,101,72,25,97
034FWFTRCOLWICK,River Trent at Colwick and Victoria Park,10,1665,534,740,1274
034FWFTRCOLWICKR,River Trent at Colwick Racecourse,8,,,,
034FWFTRFARNDON,Rivers Trent and Devon at Farndon,10,927,554,286,840
034FWFTRFARNWYK,Rivers Trent & Devon at Farndon riverside properties including Dorner Avenue and Wyke and Marsh Lane,9,37,35,0,35
034FWFTRFISKERTN,River Trent at Fiskerton,8,301,189,75,264
034FWFTRFISKMILL,"River Trent at Fiskerton Mill including Rolleston Fields, Gorse and Nurseries",9,,,,
034FWFTRGIBSMERE,River Trent at Gibsmere and Gipsy Lane at Bleasby,7,70,44,11,55
034FWFTRGUNTHRP,River Trent at Gunthorpe including the A6097,9,376,247,81,328
034FWFTRHLMPIER,River Trent at Holme Pierrepont,6,144,59,40,99
034FWFTRHOLME,River Trent at Holme,5,42,30,3,33
034FWFTRHOVNGHM,River Trent at Hoveringham,7,150,112,27,139
034FWFTRHPWATER,River Trent at Holme Pierrepont for the National Watersports Centre,7,,,,
034FWFTRLNTPRKRD,River Trent at Lenton for Nottingham Park and Ride Site at Queens Drive,7,,,,
034FWFTRLOCKHEM,"River Trent at Hemington Ponds, Hole and Fields",8,16,5,6,11
034FWFTRNEWARK,River Trent at Newark,11,677,157,356,513
034FWFTRNEWCAT,River Trent at Newark Cattle Market,9,163,57,55,112
034FWFTRNEWRIVER,River Trent at Newark for riverside properties,6,206,74,74,148
034FWFTRNEWSAWLY,River Trent at New Sawley,14,3218,1983,922,2905
034FWFTRNOTTCITY,River Trent at Nottingham including The Meadows,13,6793,2124,2488,4612
034FWFTRNTHMUSKHM,River Trent at North Muskham,7,383,175,168,343
034FWFTRRADCARA,River Trent at Radcliffe on Trent Caravan Park,6,111,53,36,89
034FWFTRRADTRNT,River Trent at Radcliffe on Trent,11,182,79,79,158
034FWFTRROLLSTN,River Trent at Rolleston,9,143,101,37,138
034FWFTRRPTING,River Trent at Willington around Repton Road,8,109,57,36,93
034FWFTRSAWLEY,Rivers Trent and Erewash at Sawley and Long Eaton,10,8224,3345,3077,6422
034FWFTRSAWMARIN,"River Trent at Sawley Marina, including Sawley Lock",7,14,7,0,7
034FWFTRSHARDLW,Rivers Trent and Derwent at Shardlow and Great Wilne,6,566,367,145,512
034FWFTRSHELFRD,River Trent at Shelford,6,90,68,15,83
034FWFTRSHLFDMNR,River Trent at Shelford for Shelford Manor and The Holmes,9,20,8,6,14
034FWFTRSTKEBAR,River Trent at Stoke Bardolph,11,548,71,168,239
034FWFTRSTMUSKHM,River Trent at South Muskham and Little Carlton,8,163,75,72,147
034FWFTRSUGARNWK,River Trent at Newark Sugar Factory and Kelham Bridge,10,19,18,0,18
034FWFTRSWARKST,River Trent at Swarkestone,8,35,23,5,28
034FWFTRTHRMPTN,River Trent at Thrumpton including Barton Ferry,10,37,23,8,31
034FWFTRTOLNEY,River Trent at Newark Tolney Lane and Riverside Marinas,11,166,56,63,119
034FWFTRTRENTLK,River Trent at Trentlock,8,29,24,3,27
034FWFTRTWYFORD,River Trent at Twyford,7,36,22,10,32
034FWFTRWESTBRG,River Trent at West Bridgford,12,9328,3062,3824,6886
034FWFTRWILFORD,River Trent at Wilford,11,2258,882,1087,1969
034FWFTRWLLNGTN,River Trent at Willington,9,332,209,94,303
034FWFWBWHETSTNE,Whetstone Brook at Whetstone,7,287,126,103,229
034FWFWDWOODBRO,Woodborough Brook at Woodborough,1,72,37,23,60
034FWFWILEICS,Willow Brook at North Evington and Belgrave in Leicester City,2,3219,120,2006,2126
034FWFWOLOUGHB,Wood Brook and River Soar at Loughborough to the north of Derby Road,9,1334,198,744,942
034FWFWOLUFSOUTH,Wood Brook at Loughborough to the south of Derby Road,2,612,53,256,309
034FWFWRASFRDBY,River Wreake at Asfordby,7,31,6,17,23
034FWFWRFRISWRKE,River Wreake at Frisby-on-the-Wreake,6,,,,
034FWFWRMELTNMOW,River Wreake at Melton Mowbray,9,1034,158,551,709
034FWFWRMILLS,"River Wreake for mills at Hoby, Thrussington and Ratcliffe",6,,,,
034FWFWRRATHRUSS,River Wreake at Thrussington and Ratcliffe on the Wreake,7,19,9,5,14
034FWFWRRIVSYST,Rivers Wreake and Soar for riverside properties near Syston and Birstall,4,42,15,16,31
034FWFWRSYSTON,River Wreake at Syston,7,710,283,321,604
034FWFWYASHFRD,River Wye at Ashford in the Water,8,56,25,20,45
034FWFWYASHFRDCS,River Wye at Ashford in the Water around Church Street,6,41,31,5,36
034FWFWYBAKEWELL,River Wye at Bakewell,11,693,445,165,610
034FWFWYBAKMILF,River Wye at Wye Bank and Milford at Bakewell,8,102,68,22,90
034FWFWYBUXTON,River Wye and Hogshaw Brook at Buxton,5,329,38,114,152
034FWFWYCHEE,"River Wye at Chee Dale, Cressbrook and Upperdale",14,43,19,19,38
034FWFWYLITTMILL,River Wye at Litton Mill,3,36,19,14,33
034FWFWYROWSLEY,Rivers Wye and Derwent at Rowsley,8,61,57,5,62
034WAB420,Tidal Trent for riverside areas from Gainsborough to the Humber confluence,4,2900,1619,0,598
034WAB421,Tidal Trent wider floodplain from Gainsborough to the Humber confluence,8,10953,3256,0,1006
034WAB424,River Trent from Cromwell Weir to Gainsborough,12,7593,2519,0,828
034WAF401,River Sence in Leicestershire,5,464,119,0,62
034WAF402,Upper Soar catchment,18,11651,1335,0,458
034WAF403,"Rothley Brook, Quorn Brook and Sileby Brook in Leicestershire",10,621,208,0,104
034WAF404,River Wreake in Leicestershire,10,2911,726,0,372
034WAF405,Tributaries in Leicester City,1,13838,1128,0,569
034WAF407,Upper Derwent in Derbyshire,12,348,195,0,61
034WAF408,River Wye in Derbyshire,10,1372,690,0,149
034WAF409,Lower Derwent in Derbyshire,9,7504,3098,0,769
034WAF410,Tributaries in North Derbyshire,4,701,158,0,110
034WAF411,Tributaries in South Derbyshire,2,2907,116,0,104
034WAF413,Bottle Brook in Derbyshire,8,355,199,0,53
034WAF414,River Trent in Derbyshire,11,665,360,0,102
034WAF415,River Trent in Nottinghamshire,15,51059,21050,0,3285
034WAF416,River Erewash in Derbyshire and Nottinghamshire,12,6098,2392,0,832
034WAF417,"River Leen, Day Brook and Tottle Brook in Nottinghamshire",9,8306,1771,0,326
034WAF419,River Devon and Smite in Leicestershire and Nottinghamshire,12,1115,355,0,141
034WAF422,River Idle in Nottinghamshire,8,2458,800,0,331
034WAF423,River Erewash Tributaries in Derbyshire and Nottinghamshire,1,2886,1571,0,243
034WAF426,Loughborough urban watercourses and local tributaries to the River Soar,13,5632,755,0,435
034WAF427,Ryton Oldcotes catchment,7,489,213,0,143
034WAF428,Lower River Soar in Leicestershire,8,4032,735,0,477
034WAF429,River Trent Tributaries in Nottinghamshire,13,4030,1193,0,518
034WAF430,River Maun in Nottinghamshire,6,429,125,0,29
034WAF431,River Ecclesbourne in Derbyshire,6,470,246,0,98
034WAF432,River Amber in Derbyshire,9,48,16,0,15
034WAF433,River Eau in Scotter,5,25,17,0,13
034WAF434,River Meden in Nottinghamshire,7,212,39,0,38
051FWCDV4B10,"Harwich Town, Dovercourt and Bathside Bay",11,1657,814,557,1371
051FWCDV4B11,Hamford Water on the Essex coast,10,233,127,79,206
051FWCDV4B12a,Walton on the Naze,6,475,208,164,372
051FWCDV4B12b,Holland Marshes,6,335,142,120,262
051FWCDV4B6,The tidal River Stour at Mistley,9,97,17,38,55
051FWCDV4B7,The tidal River Stour at Manningtree,11,456,206,138,344
051FWCDV4B9,The Parkeston Quay and the Ramsey River,10,398,206,116,322
051FWCDV4C1a,"The Essex coast from Clacton, to and including, Lee-over-Sands",5,3058,1086,1140,2226
051FWCDV4C1b,The tidal River Colne at Point Clear and Saint Osyth Creek,6,348,218,93,311
051FWCDV4C1c,The tidal River Colne from Brightlingsea to Wivenhoe,7,586,344,164,508
051FWCDV4C2,The tidal River Colne upstream of the Colne Barrier,6,2845,634,1310,1944
051FWCDV4C3,"The Essex coast at West Mersea, including The Strood and surrounding marshland",8,139,79,40,119
051FWCDV4C4,The Essex coast at East Mersea,7,,,,
051FWCDV4C5,Salcott cum Virley,6,89,61,22,83
051FWCDV4C6,Tollesbury and adjacent marshland,7,106,65,12,77
051FWCDV4C7a,The Blackwater estuary at Heybridge,5,2555,1368,872,2240
051FWCDV4C7b,The Blackwater estuary from Maldon to Maylandsea,7,278,136,113,249
051FWCDV4C8,Maldon Town waterfront and the Hythe,8,187,25,125,150
051FWCDV4C9,The south bank of the Blackwater estuary in Essex,7,641,288,227,515
051FWCDV4D1,The Essex coast from St Peters Flat to Burnham-on-Crouch,9,58,37,18,55
051FWCDV4D2,The Essex coast at Burnham-on-Crouch,6,968,634,237,871
051FWCDV4D3,The tidal River Crouch from Creeksea to Battlesbridge,7,2309,1216,616,1832
051FWCDV4D4,Hullbridge waterside properties,7,224,87,92,179
051FWCDV4D5,The Essex coast at Wallasea and Foulness Islands,7,101,79,20,99
051FWCDV4D6,"Paglesham, Rochford, The Wakerings and Potton Island",7,1272,837,323,1160
051FWCDV5A1,The Essex coast at Shoeburyness to Southend Pier,7,3471,621,2098,2719
051FWCDV5A2,The Essex coast at Southend seafront from the Pier to Chalkwell,6,114,44,48,92
051FWCDV5B1,"The Thames estuary at Leigh-on-Sea, from Chalkwell to Hadleigh marshes",8,57,31,14,45
051FWCDV5B2North,Canvey Island north,5,9509,945,6963,7908
051FWCDV5B2South,Canvey Island south,7,8473,938,5886,6824
051FWCDV5B3EAST,"The Thames estuary from Shellhaven, to and including Tilbury",7,7095,512,4978,5490
051FWCDV5B3EASTA,The Essex coast at Coalhouse Fort and surrounding marshland,1,,,,
051FWCDV5B3WEST,"The Thames estuary from Grays to Purfleet-on-Thames, including West Thurrock",7,7895,503,5245,5748
051FWFEF1A,Bumpstead Brook through Steeple Bumpstead to New England,4,156,55,46,101
051FWFEF1B,The Stour Brook from Haverhill to Sturmer,3,318,38,185,223
051FWFEF2,The River Stour from downstream of Kedington to Sudbury,8,148,54,65,119
051FWFEF3A,The River Stour from Sudbury to Boxted,10,484,153,247,400
051FWFEF3B,The River Stour from Boxted to Dedham,8,280,117,112,229
051FWFEF4A,The River Colne from Castle Hedingham to upstream of Halstead,9,275,37,168,205
051FWFEF4B,The River Colne from Halstead to Lexden,9,650,125,370,495
051FWFEF4C1,Riverside properties on the River Colne in Colchester,5,74,36,30,66
051FWFEF4C2,"The River Colne, through Colchester",5,1272,347,697,1044
051FWFEF4D1,"The upper River Colne and surrounding tributaries, through Great Yeldham to Castle Hedingham",1,101,37,46,83
051FWFEF5A,"The River Pant, from Great Bardfield to Braintree",11,295,86,169,255
051FWFEF5B,The River Blackwater from Braintree to Langford,10,357,191,103,294
051FWFEF5C,"The River Brain through Braintree, to and including Witham",9,477,40,300,340
051FWFEF6A,The River Chelmer from Churchend to the Rivermead Industrial Estate in Chelmsford,8,181,64,84,148
051FWFEF6B,"The River Wid from Ingatestone, to and including, Writtle",8,107,15,69,84
051FWFEF6C1,Riverside properties on the Rivers Chelmer and Can in Chelmsford,5,320,39,173,212
051FWFEF6C2,"The Rivers Can and Chelmer, through Chelmsford",6,3071,167,1759,1926
051FWFEF6D,The River Chelmer from the A138 at Chelmsford to Maldon,8,270,45,177,222
051FWFEF7A,The River Crouch from Noak Bridge to Runwell,8,291,46,163,209
051FWFEF7B,The Eastwood Brook and Prittlewell Brook in the Southend area,16,1296,101,888,989
051FWFEF7C,The Mardyke from North Stifford to Purfleet-on-Thames,8,254,25,168,193
051WACDV4C,"The Essex coast from Clacton to and including, St Peters Flat and the Colne and Blackwater estuaries",12,10363,4261,0,772
051WACDV4D,The Essex coast from St Peters Flat to and including Shoeburyness and the Crouch and Roach estuaries,10,4923,2885,0,298
051WACDV5A,"The Essex coast from Shoeburyness, to and including Southend seafront, including Southchurch Park",7,3585,665,0,301
051WACDV5B1,"The Essex coast from Leigh-on-Sea, to and including, Hadleigh Marshes, and Two Tree Island",3,57,31,0,6
051WACDV5B2,"The Essex coast at Canvey Island to South Benfleet, and Wat Tyler Country Park",3,17982,1883,0,1517
051WACDV5B3,The Essex coast from Fobbing to Purfleet-on-Thames,5,14990,1015,0,505
051WACDV5B3a,The Essex coast at Coalhouse Fort,1,,,,
051WAFEF1,The upper Stour and surrounding tributaries,10,879,178,0,126
051WAFEF3,The River Stour from Sudbury to Stratford St Mary and Dedham,14,831,277,0,84
051WAFEF4,The River Colne from Great Yeldham to Colchester,7,2483,588,0,170
051WAFEF4D,"The upper River Colne and surrounding tributaries, including Great Yeldham",1,108,38,0,37
051WAFEF5,"The Rivers Pant, Blackwater and Brain",10,990,315,0,162
051WAFEF6A,The upper River Chelmer,6,214,68,0,45
051WAFEF6BC,The Rivers Wid and Can,7,3756,236,0,96
051WAFEF6D,"The lower River Chelmer, including the River Ter and brooks around Sandon",7,453,51,0,43
051WAFEF7A,The River Crouch from Noaks Bridge to Runwell,9,639,59,0,28
051WAFEF7B,"The River Roach, Prittle Brook and Eastwood Brook",7,1453,103,0,80
051WAFEF7C,The Mardyke to the River Thames at Purfleet-on-Thames,9,392,33,0,20
052FAGBURY,Groundwater flooding in Bury St Edmunds,4,169,21,0,21
052FAGFORNHAM,Groundwater flooding in Fornham St Martin,3,,,,
052FAGNEWMARKET,Groundwater flooding in Newmarket,4,464,25,0,25
052FWFABHA,"Alconbury Brook at Hamerton, Alconbury Weston, Alconbury, Little Stukeley and Brampton",10,287,157,84,241
052FWFBBBRAMPTON,Brampton Brook in Brampton,13,757,324,328,652
052FWFBBKRRA,"Bury Brook at Kings Ripton, Broughton, Wistow, Bury and Ramsey",8,152,50,67,117
052FWFBBNEWNHAM1,Low lying areas close to Bin Brook at Newnham,3,34,22,9,31
052FWFBBNEWNHAM2,Wider area at risk from Bin Brook at Newnham,3,82,25,47,72
052FWFBOBC,"Bourn Brook at Bourn, Toft and Comberton",4,48,27,14,41
052FWFCL01GIRTON,Beck Brook and Washpit Brook at Girton,5,91,23,50,73
052FWFCL02OAKWST,Oakington Brook and Beck Brook at Oakington and Westwick,3,386,136,166,302
052FWFEBSB,"Ellington Brook at Spaldwick, Easton and Ellington",2,33,8,9,17
052FWFELY,River Great Ouse at Ely,8,83,22,24,46
052FWFFLSHCL,"River Flit, River Hit and River Ivel at Shefford and Clifton",6,81,42,33,75
052FWFGRLB1,Low lying areas close to the River Granta at Linton and Babraham,3,59,37,11,48
052FWFGRLB2,Wider area at risk from the River Granta at Linton and Babraham,3,30,13,4,17
052FWFHFWFDCD,"Hundred Foot Washes east bank Flood Defences at Coveney, Littleport and Denver",5,1301,106,767,873
052FWFIVBLUNHAM,River Ivel at Blunham and Tempsford,6,48,30,9,39
052FWFIVBWLC,River Ivel at Biggleswade and Lower Caldecotte,5,59,9,15,24
052FWFIVHG,"Ash Brook, Ippollitts Brook and River Purwell at Hitchin, Ashbrook, Little Wymondley and Graveley",2,323,53,208,261
052FWFIVLANGFORD,River Ivel at Langford,4,102,61,29,90
052FWFIVSANDY,River Ivel at Sandy,5,190,69,95,164
052FWFIVSEBE,River Ivel at Seddington and Beeston,6,73,25,31,56
052FWFKEDF,"River Kennett at Dalham, Moulton and Freckenham",7,116,41,56,97
052FWFKYMKGS,"River Kym at Tilbrook, Kimbolton, Stonely and Great Staughton",11,66,36,20,56
052FWFLAFSMI,"River Lark at Fornham St. Martin, Mildenhall and Isleham",8,357,58,146,204
052FWFLASBSE,River Lark at Sicklesmere and Bury St Edmunds,10,304,33,200,233
052FWFLCCFD1,Low lying areas close to the River Cam at Chesterton and Fen Ditton,3,270,73,137,210
052FWFLCCFD2,Wider area at risk from the River Cam at Chesterton and Fen Ditton,3,1351,113,784,897
052FWFLCGCC1,Low lying areas close to the River Cam at Grantchester and Chesterton,3,108,14,41,55
052FWFLCGCC2,Wider area at risk from the River Cam at Grantchester and Chesterton,3,228,13,101,114
052FWFLCMW,River Cam at Milton and Waterbeach,2,73,26,33,59
052FWFLCSH,"River Cam at Stapleford, Great Shelford and Hauxton",4,151,22,90,112
052FWFLOESSN1,"Areas close to the River Great Ouse at Wyboston, Eaton Socon, Eynesbury, Eaton Ford, and St Neots",7,294,72,146,218
052FWFLOESSN2,"Wider area at risk from the River Great Ouse at Eaton Socon, Eynesbury, Eaton Ford, and St Neots",2,3764,683,2088,2771
052FWFLOFF,River Great Ouse and Hall Green Brook at Fenstanton and Fen Drayton,4,49,23,18,41
052FWFLOGB,River Great Ouse at Godmanchester and Brampton,1,17,8,5,13
052FWFLOGM1,Low lying areas close to the River Great Ouse at Godmanchester,4,252,61,135,196
052FWFLOGM2,Wider area at risk from the River Great Ouse at Godmanchester,4,844,206,421,627
052FWFLOHE,River Great Ouse at the Hemingfords,4,1130,526,465,991
052FWFLOHH,River Great Ouse at Huntingdon and Hartford,3,135,42,75,117
052FWFLOHS,"River Great Ouse at Holywell, Needingworth and Swavesey",3,527,115,321,436
052FWFLOLPGP,River Great Ouse at Little Paxton and Great Paxton,1,300,85,155,240
052FWFLOOE,"River Great Ouse at Over, Bluntisham and Earith",9,129,20,71,91
052FWFLOSTIVES1,Low lying areas close to the River Great Ouse at St Ives,4,119,51,33,84
052FWFLOSTIVES2,Wider area at risk from the River Great Ouse at St Ives,4,2808,868,1331,2199
052FWFLOSTIVES3,Parsons Drove at St Ives,1,375,131,159,290
052FWFLOSTO,"River Great Ouse at Southoe, Buckden and The Offords",2,168,87,37,124
052FWFLOTSS,"River Thet at Shropham, East Harling and Shadwell",3,25,3,17,20
052FWFLOTTH,"Little Ouse River and River Thet at Thetford, Brandon and Hockwold",8,314,75,163,238
052FWFLOWH,River Great Ouse at Wyton and Houghton,5,700,342,257,599
052FWFMLC01,"Middle Level Commissioner area at Pondersbridge, Turves and Upwell",9,3913,331,2470,2801
052FWFMOBB,River Great Ouse at Bromham and Biddenham,3,11,9,0,9
052FWFMOBED1,Low lying areas close to the River Great Ouse at Bedford,6,159,49,29,78
052FWFMOBED2,Area close to the River Great Ouse at Bedford,4,945,126,449,575
052FWFMOBED3,Wider area at risk from the River Great Ouse at Bedford,4,1382,177,851,1028
052FWFMOFP,"River Great Ouse at Felmersham, Sharnbrook, Bletsoe, Pavenham and Milton Ernest",3,11,6,0,6
052FWFMOGBR1,"Low lying areas close to the River Great Ouse at Renhold, Great Barford, Tempsford and Roxton",4,15,13,0,13
052FWFMOGBR2,"Wider area at risk from the River Great Ouse at Renhold, Great Barford, Tempsford and Roxton",5,93,26,40,66
052FWFMOHARROLD,River Great Ouse at Harrold,2,47,35,10,45
052FWFMOKEMP1,Low lying areas close to the River Great Ouse at Kempston,5,93,56,23,79
052FWFMOKEMP2,Wider area at risk from the River Great Ouse at Kempston,5,505,239,172,411
052FWFMONEWPAG1,Low lying areas close to the River Great Ouse and River Ouzel at Newport Pagnell,6,24,21,0,21
052FWFMONEWPAG2,Area close to the River Great Ouse and River Ouzel at Newport Pagnell,7,451,203,189,392
052FWFMONEWPAG3,Wider area at risk from the River Great Ouse and River Ouzel at Newport Pagnell,5,998,390,456,846
052FWFMOOC,River Great Ouse at Oakley and Clapham,2,339,187,92,279
052FWFMOODELL,River Great Ouse at Odell,2,26,16,6,22
052FWFMOONB,River Great Ouse at Olney and Newton Blossomville,3,,,,
052FWFMOTURVEY,River Great Ouse at Turvey,2,57,27,20,47
052FWFNANS,"River Nar at Narborough, Marham, Wormegay and Saddle Bow",2,166,40,79,119
052FWFOBFDWN,"Old Bedford Counter Drain west bank Flood Defence at Welney, Christchurch and Nordelph",13,719,124,425,549
052FWFOWFDOS,"Old West River (River Great Ouse) Flood Defences area at Over, Cottenham and Sutton",15,364,63,173,236
052FWFOZBC,River Ouzel at Bletchley and Caldecotte,3,14,11,0,11
052FWFOZCLIP1,Low lying areas close to Clipstone Brook at Leighton Buzzard,5,134,77,47,124
052FWFOZCLIP2,Wider area at risk from Clipstone Brook at Leighton Buzzard,7,862,396,360,756
052FWFOZLBB,"River Ouzel at Leighton Buzzard, Stoke Hammond and Great Brickhill",4,13,7,0,7
052FWFOZSW,"River Ouzel at Simpson, Woolstone, Middleton and Willen",4,64,26,29,55
052FWFOZWE,Water Eaton Brook at Water Eaton,5,16,2,9,11
052FWFRBRP,Riseley Brook at Riseley and Pertenhall,8,45,22,13,35
052FWFRDFDBM,"River Delph west bank Flood Defences at Benwick, Chatteris and Manea",11,792,81,473,554
052FWFRHGMH,"River Rhee at Guilden Morden, Arrington and Harston",3,,,,
052FWFTILYLD,"River Til at Yelden, Upper Dean and Lower Dean",8,77,32,36,68
052FWFTVTMC,River Tove at Towcester and Cosgrove,5,18,11,0,11
052FWFTVTOW,River Tove and Silverstone Brook at Towcester,4,120,54,39,93
052FWFUCLCW,"River Cam at Little Chesterford, Great Chesterford and Whittlesford",3,51,19,20,39
052FWFUCNL,"River Cam at Henham, Newport and Littlebury",2,111,26,56,82
052FWFUCSW,Slades at Saffron Walden,1,409,25,212,237
052FWFUCVSSW,Victoria Slade at Saffron Walden,3,70,1,55,56
052FWFUOBRACK,River Great Ouse at Brackley,3,42,14,18,32
052FWFUOBUCK1,"Low lying areas close to the River Great Ouse at Fulwell, Radclive and Buckingham",6,398,211,117,328
052FWFUOBUCK2,"Wider area at risk from the River Great Ouse at Fulwell, Radclive and Buckingham",5,223,77,94,171
052FWFUONBH,River Great Ouse at New Bradwell and Haversham,2,59,7,30,37
052FWFUOSTONY1,Low lying areas close to the River Great Ouse at Stony Stratford,6,141,75,40,115
052FWFUOSTONY2,Wider area at risk from the River Great Ouse at Stony Stratford,4,131,51,55,106
052FWFUOTP,"River Great Ouse and Padbury Brook at Thornton, Beachampton and Passenham",2,12,9,0,9
052FWFWIMH,"River Wissey at Mundford, Stoke Ferry and Hilgay",5,113,9,55,64
052FWTCSTHEACH,West Norfolk coast at Heacham,3,497,151,232,383
052FWTCSTHSF,Precautionary Evacuation Notice area at Heacham seafront,4,107,72,11,83
052FWTCSTHUNPEN,Precautionary Evacuation Notice area at Hunstanton,3,188,72,51,123
052FWTCSTSNETT,West Norfolk coast at Snettisham,3,42,22,9,31
052FWTCSTSSF,Precautionary Evacuation Notice area at Snettisham seafront,4,109,67,8,75
052FWTCST_BRKLS,Coast from north of King's Lynn to Snettisham,3,283,17,185,202
052FWTKLNKL1,King's Lynn river frontage and South Lynn,2,2415,690,1034,1724
052FWTKLNKL2,Urban area of King's Lynn,2,12195,1827,6521,8348
052FWTKLNWL,Tidal River Great Ouse at West Lynn,2,814,293,335,628
052FWTTRVWH,Tidal River Great Ouse at the Wiggenhalls,1,795,348,306,654
052FWTTRV_BRE1,Tidal River Great Ouse east bank breach at Downham Market,3,28,9,13,22
052FWTTRV_BRE2,"Tidal River Great Ouse east bank breach at Stow Bridge, Watlington and Saddlebow",3,825,68,545,613
052FWTTRV_BRW1,Wash frontage at Admiralty Point including Tidal River Great Ouse west bank breach to Eau Brink,2,3242,319,2013,2332
052FWTTRV_BRW2,"Tidal River Great Ouse west bank breach at Wiggenhall St Mary The Virgin, Tilney Fen End and Outwell",3,813,84,468,552
052FWTTRV_BRW3,"Tidal breach east of Wisbech along the A47 at West Walton, Emneth Hungate and Terrington St John",2,4127,278,2737,3015
052FWTTRV_BRW4,"Tidal River Great Ouse west bank breach at Nordelph, Barroway Drive and Stow Bridge",3,661,131,366,497
052WAFALCONBURY,Alconbury Brook in Cambridgeshire,5,702,186,0,137
052WAFBINBROOK,Bin Brook in Cambridgeshire,1,119,48,0,26
052WAFBOURN,Bourn Brook in Cambridgeshire,6,71,31,0,21
052WAFBURY,Bury Brook in Cambridgeshire,4,155,51,0,27
052WAFBWC,Middle Level of the Fens in Cambridgeshire and Norfolk,10,24325,702,0,629
052WAFCTLD,Cottenham Lode in Cambridgeshire,4,1685,223,0,184
052WAFELLINGTON,Ellington Brook in Cambridgeshire,2,44,11,0,11
052WAFELY,"Ely Ouse in Cambridgeshire, Suffolk and Norfolk",11,7378,306,0,275
052WAFGRANTA,River Granta in Essex and Cambridgeshire,3,174,64,0,53
052WAFHFW,Hundred Foot Washes in Cambridgeshire and Norfolk,5,,,,
052WAFIVEL,River Ivel in Hertfordshire and Central Bedfordshire,5,1625,333,0,188
052WAFKENNETT,River Kennett in Suffolk and Cambridgeshire,2,165,45,0,35
052WAFKYM,River Kym in Bedford Borough and Cambridgeshire,4,148,68,0,39
052WAFLARK,River Lark in Suffolk,10,1069,95,0,67
052WAFLOBE,River Great Ouse in Cambridgeshire from Brampton to Earith,7,9959,2877,0,1297
052WAFLOCAM,Lower River Cam in Cambridgeshire,2,2682,279,0,182
052WAFLOT,Little Ouse River and River Thet in Suffolk and Norfolk,7,674,110,0,73
